District,Area,col1,col2,col3,col4,col5,
Seongbuk-gu,Dongsomun-dong,49229171.01,111393133.8,245,200935.3919,454665.8524,
Seongbuk-gu,Dongsomun-dong,27587862.27,62291479.59,137,201371.2574,454682.3328,
Seongbuk-gu,Dongsomun-dong,47106224.43,106449413.9,234,201308.6514,454912.0252,
Seongbuk-gu,Dongsomun-dong,29589478.87,66913507.89,147,201288.9719,455193.9312,
Seongbuk-gu,Bomun-dong,97241741.92,218864511.3,482,201746.3525,454075.7495,
Seongbuk-gu,Bomun-dong,55848618.18,125759709,277,201619.5602,454006.1698,
Seongbuk-gu,Bomun-dong,25788209.61,58095802.06,128,201470.3876,453873.4536,
Seongbuk-gu,Bomun-dong,22410082.93,50358432.1,111,201892.639,453679.5685,
Seongbuk-gu,Bomun-dong,53265516.79,119761136.9,264,201763.3212,453640.6699,
Seongbuk-gu,Bomun-dong,76861105.08,172756100.6,381,201735.1839,453428.0857,
Seongbuk-gu,Bomun-dong,34327859.96,77075916.25,170,201928.588,453387.7427,
