District,Area,col1,col2,col3,col4,col5,
Jung-gu,Euljiro 2-ga,18482538.07,42017040.86,93,198736.9685,451796.1383,
Jung-gu,Euljiro 3-ga,75942297.42,172159988.5,381,199323.6153,451863.4868,
Jung-gu,Euljiro 4-ga,39567290.79,89475070.5,198,199834.802,451894.2954,
Jung-gu,Euljiro 5-ga,38833977.86,87666167.5,194,200175.1436,451887.4614,
Jung-gu,Euljiro 6-ga,39696771.83,89495898.79,198,200488.7466,451999.4888,
Jung-gu,Euljiro 7-ga,17472130.36,39301584.23,87,200829.0846,451742.3475,
Jung-gu,Chungmu-ro 1ga,14294409.65,32493902.55,72,198533.4673,451304.202,
Jung-gu,Chungmu-ro 2ga,32426382.48,73574154.07,163,198934.8618,451375.1783,
Jung-gu,Chungmu-ro 3ga,32284217.78,73136817.61,162,199285.2949,451461.8371,
Jung-gu,Chungmu-ro 4ga,51694188.46,116922963,259,199591.4612,451440.0116,
Jung-gu,Chungmu-ro 5ga,33798681.12,76301184.41,169,199992.196,451486.2983,
Jung-gu,Taepyeongno 1-ga,6928243.382,15822197.11,35,197949.8109,452062.7745,
Jung-gu,Taepyeongno 2-ga,11481429.89,26188766.51,58,197955.6878,451530.4571,
Jung-gu,Hoehyeondong1-ga,84278103.56,191624030.2,425,198301.4201,450880.071,
Jung-gu,Hoehyeondong2-ga,16875596.71,38330292.75,85,198536.4318,450944.6206,
Jung-gu,Hoehyeondong3-ga,6553648.52,14888583.07,33,198595.4097,451169.184,
